"category","bagOfWords"
"SNACKS","snack pack pringles flavors caja reg."
"SNACKS","trail nutty naturals variedad svt* pate, reg. $c/u"
"SNACKS","frutos secos nutty natural cashew roasted salted unsalted raws pate black raisins pte. reg. $c/u"
"SNACKS","mani nutty naturals honey roasted salted pate reg. $,c/u utty peanuts"
"CEREALS","granola natural cravings grandia variedad pate. reg. sc/u"
"SNACKS","frutos secos nutty naturals almonds sliced, slivered walnuts chopped, pate reg. $c/u esp. $clu almond"
"SNACKS","maní planters roasted light salted unsalted honey, env. reg. $c/u aplanters"
"SNACKS","atty pecan halves nutty natural pate. reg."
"SNACKS","great value pita chips salt $cu. party size"
"MALT","volue malta great value regular pqte"
"COOKIES/CRACKERS","great lemon sandwich crème cookies galletas sándwich value limón duplex surtidas assorted"
"SNACKS","tack attack cream onion osiginal $cu. snacks stack great value ariedad *dvt"
"COOKIES/CRACKERS","exclusivo walmart $acu. galletas chips ahoy! reese's velvet"
"SNACKS","great bowlz tortila chip dippers style $tortilla chips value white corn"
"ISOTONIC DRINKS","rollback $cu. bebida hidratante gatorade pqte. variedad *dvt"
"JUICE-PORTA PACK","petit iuni $cu. jugos mini pqte. variedad *dvt"
"COLD CUTS","mortadella sabrosa reg. $c/u bolita"
"WINE","caballero torres coronas sangre toro viña sol, piedra albariño, cepa variedad, reg. $ahorra $c/u"
"WINE","caballero torres coronas sangre toro viña sol, piedra albariño, cepa variedad, reg. $ahorra $c/u"
"RTD COCKTAILS","sangría vinos ponte vecckio variedad svt* lts. $c/u veeckio"
"DIABETIC NUT SUPPL","suplementos glucerna regular hunger smart variedad pate bots. reg. $c/u"
"COFFEE","crema rico café molido reg. $c/u selección cafe vaco %purc taza llena puerto"
"ARTIFICIAL SWEETENER","zero sucra endulzador calorías reg. x$xs cajas taste thet sugar calgr calorie sweetoer"
"CANNED VEGETABLES","green giant french style beans mexicorn vegetales mixtos, niblets corn kounty kist colden maiz tiern lata reg."
"FROZEN SEAFOOD","porciones dorado panamei (mahi mahi) cong indonesia china pqte. reg. $pqte. ahorra $pate. panamel mahi pate."
"FROZEN SEAFOOD","pescadilla paname cong indonesia china pqte. reg. $pqte. ahorra pate. cpanamel whiting"
"FROZEN SEAFOOD","camarones crudos supermax cong indonesia pqte. reg. $pqte. ahorra pate. shrimp"
"FROZEN SEAFOOD","panamel breaded shrimp camarones empanados panamei cong china regular coco, pgte. reg. $pate. /ahorra"
"FROZEN SEAFOOD","camarones cocidos panamei china cong cpanamel shrimp pate. /reg. $pqte, ahorra pqte."
"FROZEN SEAFOOD","anillas calamar paname china cong pate reg. $pqte. panamel squid rings horra pqte."
"FROZEN SEAFOOD","seafood panamei panamel cong nicaragua pate. req. $pate. ahorra"
"FROZEN SEAFOOD","filete tilapia numar vietnam cong pąte. reg. $pqte. ahorra fillets pqte."
"FROZEN SEAFOOD","filete chillo numar china cong pqte reg. $pqte. ahorra filates pqte."
"FROZEN SEAFOOD","tuna steak numar vietnam cong pate. reg. $pqte ahorra $pate. steaks pqte."
"FROZEN SEAFOOD","filete basa numar vietnam cong pqte. reg. $pate. ahorra $pqte. swai fillets"
"FROZEN SEAFOOD","filete salmón numar cong brasil, pqte. reg. $pqte. ahorra $pate. trons salmon fillets"
"FROZEN SEAFOOD","camarones cocidos peeled numar indonesia pate /cong. pqte. reg. $pqte. ahorra pqte"
"FROZEN SEAFOOD","pelca gaspe bacalao genuino chile ahorra"
"COLD CUTS","exclusivo supermax jamón puerquito cocido rebanado reg. ahorra"
"FROZEN SEAFOOD","surimi flakes imitation crab meat cong china pqte reg. $pqte. ahorra iniltotion pqtes"
"COLD CUTS","exclusivo supermax jamón puerquito cocido entero reg. $c/u ahorra"
"FROZEN SEAFOOD","camarones cocidos pesca indonesia cong pgte reg. $pqte. shrimpahorra $pate. pqte"
"FROZEN SEAFOOD","tentaculos calamar galego cong españa pote. reg. $paqte. ahorra $pate. pqte."
"COLD CUTS","jamón pavo festive halve reg. $ib. ahorra"
"COLD CUTS","boars ever roast chicken breast qregular ahorra"
"DIPS & SALSAS","diego verde, santa maria, trujillo alto, francisco, plaza caparra, guaynabo, dorado, ponce caguas traditional hummus variedad pate regular $c/u ahorrac/u"
"CHEESE-OTHERS","head switzerland swiss cheese regular ahorra"
"HAMBURGERS","prero adohaito adobaito beef pork patties chef piñeiro's cong pate. reg. $pate. :ahorra $pqte. pqte.:"
"FROZEN SEAFOOD","fresh frozen shrimp camarones cocidos cola /cong reg. $c/u bolsa quality"
"FROZEN SEAFOOD","camarones cocidos cola /cong reg. $c/u bolsa"
"FROZEN SEAFOOD","camarones cocidos cola /cong reg. $clubolsa"
"FROZEN SEAFOOD","snapper filete chillo pesca pqte reg. $c/uc/u"
"FROZEN SEAFOOD","camarones gocidos pesca cola /cong pqte. reg. $pate."
"FROZEN SEAFOOD","filete dorado mahi-mahi pesca pqte reg. $c/u pqte."
"FROZEN SEAFOOD","tuna filete atun pesca pqte reg. $c/uc/u"
"FROZEN SEAFOOD","meior pulpo aueht pescal tentáculos calamar pate reg. $c/u"
"FROZEN SEAFOOD","almejitas blancas pesca congpate. reg.$clu"
"FROZEN SEAFOOD","mussels mejillones cocidos pesca cong pate. reg. $clu"
"FROZEN SEAFOOD","filete basa pesca pqte reg. $c/u fillet"
"FROZEN SEAFOOD","king crab salad chunk imitation reg. $c/u"
"FROZEN SEAFOOD","pescadilla pesca cong reg. $c/u"
"RTD COCKTAILS","ready reooy buovn limndli punch sangria $cu. bebida palo pqte. variedad *dvt"
"BEER","smirnofe rollback $cu. c.u. bebida smirnoff screwdriver pqte."
"RTD COCKTAILS","readyebrink oronja cocktai $cu. bebida gasolina pqte. variedad *dvt"
"RUM","cristal puerto rican $cu."
"VODKA","titols handmad vodka $cu. tito's"
"WHISKY","dewars true scotch fjohn dewar&sons rollback $antes $cu. c.u. whisky dewar's años"
"BEER","pack heineken #cu. cerveza alcohol pqte."
"WINE","#cu. vino bella bollé sparkling moscato d'asti bolle elia boue duct italy product"
"SPARKLING WINE","remy cava rémy brut rosé *dvt"
"WINE","marieta $cu. vino albariño"
"WINE","guntrum riesling rollback $cu. c.u. vino"
"DISHWASHING DETERGENT","descuento dawn® (excluye dawn simply tamaño muestra/viaje) ultra larger (excludes clean trialtravel size) save consumer: limit coupon purchase products quantities stated identical coupons household day. authorized purchasing resale. void transferred sold, auctioned, reproduced altered from original. sales tax. consumidor: cupon compra productos cantidades especificadas. cupones idénticos familia dia. autorizan compran reventa. nulosise transiere, vende, subasta,reproduce altera pague impuestos venta. dealer: sending procter& gamble, inmar dept. fawcett drive, del- rio, signifies compliancewith policy. copy available above address. cash excess shelf price retuned consumer applied transaction. value procter gamble"
"SHAMPOO","vence: //anufacturer coupon expiration date: //$de descuento champú acondicionador hair repair nask herbal essencese bicarenew (excluye tamaño muestra/viaje essencesbiorenew shampoo conditioner essences@bio:renew mask (excludes trialtravel size) consumer: limit purchase products quanties stated. linit identical coupons household day. authorized purchasing resale. voidiftransferredsold, auctioned,reproduced_ altered from original. sales tax. consumidor: cupon compra productos cantidades espedificadas. cupones idénticos famila dia. nose autorizan silos compran reventa.nulosi transfiere, vende, subasta,reproduco altera oginal. pague impuestos venta. dealer: sending procter gamble, inmar dept. fawcett- drive, rio, signies complance with policy. copy available above address. cash credit excess shelf price returned consumer applied transaction. value procter& gamble"
"SHAMPOO","vence: //anufacturer coupon expiration date://de descuento champú aussie inute miracle aussie® (excluye tamaño muestra/viaje) shampoand product (excludes trial/travel size) consumer:limit purchase products quantities stated limit identical coupons household day. authorized purchasing resale. void transferred sold, auctioned, reproduced altered from original. sales tax. consumidor: cupon compra productos cantidades espedificadas, cupones identicos familia día. autorizan compran reventa. nulo transfiere, vende, subasta,eproduce altera pague itos venta. dealer: sending procter gambe inmardept. #,one fawcett drive, delrio, signies compliance with policy. copy available above address. cash credit excess shelfprice retuned consumeror applied transaction. value &gamble"
"SHAMPOO","vence: //$de descuento hair foode (excluye tamaño muestra/viaje) food® product (excludes trial/travel size) consumer: limit coupon purchase products quantities stated identical coupons household authorized purchasing resale. void transferred sold, auctioned, reproduced altered from original. sales tax. consumidor: cupon compra productos cantidades espedificdas. cupones idénticos familia día. autorizan compran reventa. nulo transfiere, vende, subasta,reproduce altera original paque impuestos venta. dealer:sending procter&gamble,inmar dept. onefawcettdrive, río, signiies compliance vwith polioy. copy available above address. cash credit excess shef price retuned consumer applied transaction. value procter gamble"
"FABRIC SOFTENERS","bounce hojas secadora gain unstopables obtenga recompensas extrabucks familia tarjeta."
"ANALGESIC-ADULT","natu $obtenga obtenga dcto health analgésicos somníferos (excluye niños farmacéutico) scon recompensas extrabucks familia selec heakth buprofern claritin nsaid) minis claritin-d cvshealth eun. (excluyen sticables un)t naproxen sodium tablets, back muscle pain tablets"
"BEER","busch light latas reg. seleccionadas."
"FROZEN SEAFOOD","panamel shrimp panamei camarones crudos ez-peel congs reg."
"FROZEN SEAFOOD","$c/u shrimp panamei camarones cocidos congelados reg."
"CHEESE-OTHERS","brookfield queso rallado variedad reg. $c/u pqtes. chepdar cheddar"
"VIANDAS CONGELADAS","king's crown tostones amarillos congs reg. $c/u prods. amarillo sued"
"RICE","ponle sello!! sello rojo mago arroz grano mediano reg. $arroz enriquecido median mediand"
"GRAINS","casera ohuelas coloradas latas habichuelas enlatadas hervidas caldo tomate variedad reg. peso neto incluye black peas cooked peas."
"OIL","$heart healthyheart health cholesterol eree aceite canola maíz reg. $cano"
"GRAINS","easy open desdg tdesde ichuelas orad garban habi agua habichuelas econo* variedad svt** lata reg. esp. /límite latas. cliente compra."
"ICE CREAM","conos mantecados econo caramel chocolate fudge caja $econo cruncihy"
"ICE CREAM","push econo rainbow caja $c/u pops"
"ICE CREAM","sandwich mantecado econo variedad svt caja reg. sc/u uevoc/u"
"WATER","nikini puried caribbean waternikini spirit ofthe earth agua pate bots. reg. $límite pgtes. cliente compra."
"ICE CREAM","econo antecado french vanilla cono okies cream olitan mantecados variedad caja reg. $c/u"
"ICE CREAM","barra mantecado econo fudge bars caja reg. $c/u esp. chocolate malteado"
"DISHWASHING DETERGENT","líquido fregar palmolive variedad svt** reg. $c/u esp. ultra strengtht daenys clint comra"
"BATHROOM CLEANER","limpiador tilex variedad svt* reg. $c/u"
"ALL PURPOSE CLEANER","lestoil variedad reg. $c/u esp. incluye original"
"ALL PURPOSE CLEANER","limpiador fabuloso complete variedad reg. $c/u esp. $clu"
"ALL PURPOSE CLEANER","limpiador fantastik variedad svt** reg. $c/u esp. $clu fantash"
"ALL PURPOSE CLEANER","mistoli mistolin fragancias mistolín variedad reg. $c/u"
"BATHROOM CLEANER","desinfectante aerosol scrubbing bubbles citrus fresh reg. $c/u"
"BATHROOM CLEANER","soft scrub variedad svt* reg. $c/u esp. sclu bleach"
"ALL PURPOSE CLEANER","limpiador clean clorox variedad reg. sc/u esp. $clu lordx clor cleaner+ aleach"
"INSECTICIDES & REPEL","insecticida raid moscas mosquitos lata reg. $c/u esp. insec"
"BATHROOM CLEANER","scrubbing bubbles toilet cleaning variedad svt* pqte reg. $c/u toile leaning"
"INSECTICIDES & REPEL","insecticida raid hormigas cucarachas svt* reg. sc/u $clu road roach"
"FABRIC SOFTENERS","suavizador suavitel variedad reg. $c/u esp. $clu"
"AIR FRESHENERS","ambientador hogar glade variedad svt* solido spray reg. sc/u sage"
"DETERGENT","detergente polvo ariel pate reg. $c/u esp. $clu"
"DETERGENT","ariel fods detergente pods gain flings! variedad, pate, $c/u"
"DETERGENT","detergente líquido aril variedad envde reg. $c/u ariel"
"AIR FRESHENERS","spray scented refill glade variedad svt** refil pate. reg. sc/u"
"AIR FRESHENERS","gade #age velas aromáticas glade variedad svt reg. $c/u esp."
"DOG FOOD","choppeo comida perro pedigree variedad lata reg. $c/u"
"DOG FOOD","treats perros pedigree dentastix variedad svt* pate reg. $c/u dentastx"
"CAT FOOD","comida gato whiskas variedad pote reg. $c/u hiskás"
"DOG FOOD","huesos perro twistedz factory variedad pate $c/u"
"DOG FOOD","comida perros pedigree variedad bolsa $c/u unior"
"DOG FOOD","comida perros mimados pate reg. $imads"
"DOG FOOD","comida perros pedigree vital adulto razas pequerias pate pate. adutt $c/u"
"DEODORANT","gdgr protection degree antiperspirant extreme blast rollback $cu. c.u. desodorante barra variedad *dvt"
"COLD REMEDIES-ADULT","maximum stremgth cold non-drowsy panadol caplets $cu. analgésico pqte."
"ANALGESIC-CHILDREN","panadol children's acetaminophen liquid ages years raspberry fiaver $cu. analgésico niños"
"COLD REMEDIES-ADULT","sabor miel ricola dual action relieves sore coughthroat $cu. pastillas garganta alivia dolor pqte."
"TOOTHPASTE","colgate fresh maxfresh with whitening knockout that last hour xfresh pursting frestness houra $cu. pasta dental variedad"
"COLD REMEDIES-ADULT","rompe pecho bonus pack pecho. $c.u. expectorante catarro congestión nasal tamaño bono gratis"
"COLD REMEDIES-CHILDREN","dietary supplement bronkoplex kids norman's larabe miel agave eucalipto syrup with eucahyptus $c.u. jarabe niños adultos natural"
"ANALGESIC-ADULT","advil liqui gels edbupoen capsules pain relever fever reduce (nsaid) variedad svt* pqte. $c/u"
"ADULT VITAMINS","centrum pate"
"COLD REMEDIES-CHILDREN","robitussin variedad reg. $c/u cough chest congestion"
"VITAMIN C","emergen vitamin super orange emergen-c variedad pate $c/u"
"DEODORANT","desodorante speed stick lady roll variedad svt** reg. $c/u esp. fusion envs. cliente compra."
"BATH SOAP","jabón barra protex variedad svt* pote reg. sc/u esp. $clu eliminates bacteria bars family pack good health your avena soap límite pqtes, cliente compra."
"TOOTHPASTE","colgate whitening fresh mint stripe pasta dental variedad svt** caja $c/u"
"TOOTHPASTE","colgate pasta dental triple action cavity protection caja reg. $c/u esp."
"TOOTHPASTE","colgate maxfresh lare carteleancolgate pasta dental clean, fresh variedad caja reg. $c/u"
"MOUTHWASH","enjuagador bucal colgate variedad $c/u oigate"
"TOOTHBRUSH","cepillo dental colgate variedad svt* pate reg. $chu"
"BODY WASH","jabón liquido lvory ariedad reg. $c/u esp. $clu ivory"
"DEODORANT","desodorante suave solid powder coconut roll-on svt $c/u esp. $clu"
"BATH SOAP","jabó baño dial ariedad pate $c/u"
"DEODORANT","desodorante dove advance ultra, fresh solid variedad, svt* env. spray reg. $c/u ep$clu"
"BATH SOAP","jabón baño lrish spring variedad pate reg. $c/u driginal"
"SHAMPOO","shampoo fair baby regular lavanda $c/u"
"SHAMPOO","shampoo conditioner linea gold natural infussion suave profesional variedad svt* sunee reg. $c/u incluye base"
"SHAMPOO","shampoo acondicionador l'oréal elvive variedad $c/u oelvive vive"
"SHAMPOO","shampoo conditioner garnier fructis variedad sc/u shine"
"SHAMPOO","shampoo conditioner head shoulders variedad sc/u brida"
"BATH SOAP","jabón manos liquido dial variedad $c/u"
"BLADES/RAZOR","navajas afeitar sensor plus daisy ultra grip pate reg. sc/u gillette illette sensorc/u"
"FEMININE PROTECTION","toallas sanitarias always pate panti liners pate. variedad awaus reg. $c/u esp. $clu maxi"
"FOOD STORAGE","freshite envase plástico freshrite variedad svt* ,qt. reg. $c/u esp. $clu"
